f(Hz), H(jw), del_t(us)(r=1e4,c=220*1e-9)
5, 0.96, 14000
10, 0.8360, 1200
25, 0.5, 8800
50, 0.25, 6400
75, 0.14772, 4800
100, 0.1007, 4200
125, 0.07089, 3600
150, 0.04776, 3280
175, 0.03636, 2880
200, 0.02878, 2560
250, 0.01818, 2240
300, 0.010984, 1920
350, 0.007575, 1680
